Transportmittel,Schlange,Reisezeit
Taxi,1,847.2577960911331
Strassenbahn,0,1033.0636040230406
Taxi,0,790.8564163339652
Strassenbahn,0,1100.6114097840523
Taxi,2,746.907465858039
Taxi,0,1199.784505245384
Strassenbahn,0,1136.0040894895562
Taxi,2,836.9373335709097
Strassenbahn,0,1073.9119554451436
Taxi,1,781.1586018451244
Strassenbahn,0,1222.3994078968096
Strassenbahn,0,1080.450056365095
Taxi,0,1257.5864936211967
Taxi,1,717.2655617847879
Taxi,2,765.0833410942166
Strassenbahn,0,1174.7037444946823
Taxi,1,1158.9058355905352
Taxi,1,878.2008753353285
Taxi,0,701.7768969168793
Taxi,1,827.8955870123206
Taxi,1,809.5713575411229
Taxi,0,744.2915013869392
Strassenbahn,0,1266.794181688792
Taxi,0,561.3251646508468
Taxi,0,513.116810244811
Taxi,2,527.6354295500039
Taxi,0,1164.9860260141527
Taxi,2,1118.9947962279298
Taxi,0,544.1502782728078
Taxi,3,830.3394209512812
Taxi,3,774.5980179906844
Taxi,2,855.3209055142195
Taxi,1,895.2640401324384
Taxi,2,620.0353682476343
Taxi,0,1066.3938246045736
Strassenbahn,0,1172.009652348271
Strassenbahn,0,1101.1601558820598
Taxi,2,834.0266047467637
Taxi,0,685.7757910618379
Taxi,1,1162.7641224493966
Strassenbahn,0,1129.8253300100532
Taxi,0,466.5073310934829
Strassenbahn,0,1061.0646864250566
Taxi,1,1119.828165039221
Taxi,0,502.95279559553836
Taxi,0,486.4529186904407
Strassenbahn,0,1191.8386779782513
Taxi,0,671.0051268700872
Taxi,2,869.9824264678373
Taxi,0,1332.6509147969389
Taxi,0,1128.9098225746507
Taxi,0,985.0229467007762
Strassenbahn,0,1036.1587954970655
Taxi,0,1363.318323692047
Taxi,0,931.9022189500641
Taxi,2,1097.9688388826112
Strassenbahn,0,1061.427568532014
Taxi,1,942.864598079956
Strassenbahn,0,1126.6802121128317
Taxi,3,816.9075084195679
Taxi,0,599.4900578467754
Taxi,2,761.0649282903852
Taxi,0,600.0570399220651
