Transportmittel,Reisezeit
Taxi,703.6824385650816
Strassenbahn,1121.4176652929568
Taxi,706.5130594776584
Strassenbahn,1065.0778452781487
Strassenbahn,1275.988091802679
Strassenbahn,1131.0834230754567
Strassenbahn,1192.1366187005274
Strassenbahn,1170.300895473736
Strassenbahn,1075.67056876966
Strassenbahn,1267.6753832914565
Strassenbahn,1154.4387406752458
Taxi,607.07556883782
Taxi,471.365806142712
Strassenbahn,1036.8754063601782
Strassenbahn,1140.3657281495748
Strassenbahn,1247.9278813790431
Strassenbahn,1016.164422371585
Taxi,546.7345869955552
Strassenbahn,1310.7372807543018
Strassenbahn,1194.5230983922638
Strassenbahn,1211.9312677609714
Taxi,560.6005335622419
Strassenbahn,1038.7703726591608
Taxi,544.8983001341624
Strassenbahn,1137.1062095850255
Strassenbahn,1258.9299084390539
Strassenbahn,1078.6182380956118
Strassenbahn,1167.1308867321666
Strassenbahn,1208.4789355323994
Strassenbahn,1267.0425094082257
Strassenbahn,1078.468701289437
Strassenbahn,1245.6005257402726
Taxi,662.4499735812068
Strassenbahn,1110.7106060812603
Strassenbahn,1065.298866990463
Strassenbahn,1195.4402228375666
Strassenbahn,1277.399930433984
Strassenbahn,1046.4645484942143
Strassenbahn,1303.7199706166468
Taxi,470.2470132133343
Strassenbahn,1056.9015383804117
Strassenbahn,1299.1138297342914
Strassenbahn,1152.4754684110562
Strassenbahn,1259.9127766793051
Taxi,533.999424090563
Strassenbahn,1227.2215453756762
Strassenbahn,1179.1057545909812
Strassenbahn,1146.5381857481298
Strassenbahn,1298.3506623961775
Strassenbahn,1180.230589173658
Taxi,523.0954653565514
Strassenbahn,1138.6151108162367
Taxi,636.0751540097249
Strassenbahn,1144.1998358857634
Taxi,565.5795863528341
Strassenbahn,1083.2734924494684
Taxi,739.7425594994248
Strassenbahn,1251.1582551210074
Strassenbahn,1024.5179300094374
Taxi,472.9264044726928
Strassenbahn,1280.7054261478493
Strassenbahn,1307.4028478622931
Strassenbahn,1045.5328147444334
Taxi,593.6288656597917
Strassenbahn,1191.284018415722
Strassenbahn,1000.858154838888
Strassenbahn,1231.9501355838536
Taxi,715.5431400608932
Strassenbahn,1001.0808358462401
Strassenbahn,1124.5130566020594
Strassenbahn,1099.160212047108
Strassenbahn,1244.8847089841347
Strassenbahn,1166.0231310152835
Strassenbahn,1056.7352907777072
Strassenbahn,1256.0148762291274
Taxi,557.8416725069353
Strassenbahn,1056.48456047136
Strassenbahn,1170.9899384165303
Strassenbahn,1042.7766067942782
Strassenbahn,1285.299101524634
Strassenbahn,1088.7851942590428
Taxi,566.6047124794989
Strassenbahn,1119.7010628638495
Strassenbahn,1171.5923999259057
Strassenbahn,1070.7100889194817
Strassenbahn,1033.5166129244903
Strassenbahn,1195.7001319117567
Strassenbahn,1162.791040599881
Strassenbahn,1239.9850736518888
Strassenbahn,1146.621958351385
Strassenbahn,1294.6689660379197
Strassenbahn,1136.2489800185353
Taxi,629.7482355868849
Strassenbahn,1128.6843141723728
Strassenbahn,1154.8591755250825
Taxi,482.4822564558497
Strassenbahn,1280.381112057564
Strassenbahn,1239.4737604301004
Taxi,631.9877905349283
Taxi,548.8570001765075
Strassenbahn,985.4375690625843
Strassenbahn,1074.3265883300737
Strassenbahn,1107.5687619668038
Strassenbahn,1150.397506819254
Taxi,561.555598020086
Strassenbahn,1030.8510806092713
Strassenbahn,1261.246200324295
Strassenbahn,1184.7059337724734
Strassenbahn,1094.0055729782653
Strassenbahn,1184.1619684186426
Strassenbahn,1210.3766009325868
Strassenbahn,1255.6253287247066
Strassenbahn,1183.463811857121
Strassenbahn,1014.6742457241363
Strassenbahn,1250.2160350594022
Strassenbahn,1090.2867402516295
Strassenbahn,1156.088918291197
Strassenbahn,1053.153016141275
Strassenbahn,1274.4171377332532
Strassenbahn,1138.8784800035712
Strassenbahn,1290.7977341301098
Strassenbahn,1247.2408298530995
Strassenbahn,1099.88669751923
Strassenbahn,1012.0702951781142
Strassenbahn,1168.812105639738
Taxi,482.47059157452264
Strassenbahn,1300.7040218423258
Strassenbahn,1169.0797464097463
Strassenbahn,1089.9368591268044
Strassenbahn,1260.6055139569626
Taxi,601.7891061972917
Strassenbahn,1001.7219897990639
Taxi,505.9028762667363
Strassenbahn,1162.1680861528885
Strassenbahn,1129.1256081181532
Strassenbahn,1052.7793143002723
Strassenbahn,1082.6960713137867
Strassenbahn,1069.3294324156977
Strassenbahn,1131.2529557780113
Strassenbahn,1002.8321282314714
Strassenbahn,1109.5420039230994
Strassenbahn,1136.454193821624
Taxi,595.8812827933784
Strassenbahn,1256.2749682693336
Strassenbahn,1017.0828819705927
Strassenbahn,1045.4188330378793
Strassenbahn,1287.5504127194563
Strassenbahn,1068.6119479564138
Strassenbahn,1115.717887653148
Strassenbahn,1138.989816777294
Strassenbahn,1286.6191562107986
Taxi,461.48484709089394
Strassenbahn,1030.238697142878
Strassenbahn,1291.2212731216064
Strassenbahn,1173.9237161197316
Strassenbahn,1023.0604987534366
Strassenbahn,1096.412883185124
Strassenbahn,1249.6514706918388
Strassenbahn,1290.8432903426788
Strassenbahn,1090.8447410688295
Strassenbahn,1061.4943015390945
Taxi,579.1727623868485
Strassenbahn,1013.0912520631533
Strassenbahn,1187.382503738866
Strassenbahn,1168.8272365494258
Strassenbahn,1043.8845282497214
Strassenbahn,1070.9475156269095
Strassenbahn,1265.6339240457692
Strassenbahn,1070.558858570143
Strassenbahn,1046.0557706380182
Strassenbahn,1033.0326930880747
Strassenbahn,1215.7113990592056
Strassenbahn,1158.7462716738555
Strassenbahn,1070.3298261761192
Strassenbahn,1070.2937789367293
Strassenbahn,1024.9313592595345
Taxi,443.51748469231507
Strassenbahn,1023.4405210818011
Strassenbahn,1053.3029265463076
Strassenbahn,1177.6372673038838
Strassenbahn,1251.060010513885
Strassenbahn,1220.8012634264858
Strassenbahn,1062.4484569939095
Strassenbahn,1205.2185397926883
Strassenbahn,1059.7222078656096
Strassenbahn,1034.545122984202
Taxi,629.5834398972586
Strassenbahn,1099.6870658466814
Strassenbahn,1037.413913999009
Taxi,650.6426715040918
Strassenbahn,1030.8854066173906
Strassenbahn,1128.8264770583278
Strassenbahn,1052.0776333850677
Strassenbahn,1239.6726490115038
Strassenbahn,1016.258900581722
Strassenbahn,1292.5178657398383
