Schlange Anfangs Länge,Schlange Entscheidungs Länge,Reisezeit
3,0,703.6824385650816
2,0,706.5130594776584
1,0,607.07556883782
1,0,471.365806142712
0,0,546.7345869955552
0,0,560.6005335622419
0,0,544.8983001341624
0,0,662.4499735812068
0,0,470.2470132133343
0,0,533.999424090563
0,0,523.0954653565514
0,0,636.0751540097249
0,0,565.5795863528341
4,0,739.7425594994248
0,0,472.9264044726928
1,0,593.6288656597917
2,0,715.5431400608932
0,0,557.8416725069353
1,0,566.6047124794989
3,0,629.7482355868849
1,0,482.4822564558497
1,0,631.9877905349283
1,0,548.8570001765075
0,0,561.555598020086
0,0,482.47059157452264
1,0,601.7891061972917
0,0,505.9028762667363
0,0,595.8812827933784
0,0,461.48484709089394
1,0,579.1727623868485
1,0,443.51748469231507
1,0,629.5834398972586
0,0,650.6426715040918
1,0,567.7214905650442
0,0,489.15007588174853
0,0,555.0911988714804
0,0,593.5260634293256
0,0,507.97205928354896
0,0,592.4415254934567
0,0,524.8789771438427
0,0,459.96607370718255
3,0,672.3211529933594
1,0,650.1316841533455
1,0,664.9126959693449
0,0,402.68895578686
0,0,486.3847226781001
2,0,738.912490520424
0,0,486.4465766899255
0,0,606.0661465228304
2,0,748.7561024597733
0,0,553.094579700586
1,0,551.5054254445926
5,0,671.1416237835783
0,0,538.8373517439788
0,0,573.1205038369117
0,0,588.7293678527823
1,0,662.9964579426736
1,0,556.7323611575017
0,0,568.7182552027132
0,0,480.0624674910642
0,0,550.3026688303071
0,0,475.9305653651965
3,0,785.2130270843871
0,0,607.9622743737154
0,0,495.90106720366657
2,0,581.3607447060093
1,0,729.1979868985657
0,0,703.5063765595786
2,0,653.4916384281058
0,0,489.8346066858564
0,0,488.4866881943866
0,0,563.9020159625334
4,0,704.3694052516196
1,0,488.68105615993886
1,0,646.5776285492011
2,0,753.8860317778986
2,0,623.4325653145029
3,0,552.9576083439346
0,0,461.44768943885254
0,0,607.0327960303332
0,0,507.2710075556456
0,0,545.6228133794608
0,0,648.0591699921838
1,0,617.5551286866828
0,0,469.2545464046363
10,0,571.5755425470234
2,0,555.0368752888908
1,0,635.8986879560302
1,0,609.5603825079728
0,0,556.8942658863245
1,0,669.1259757187559
2,0,585.8858256471611
2,0,779.912173910737
1,0,569.1984372807879
2,0,542.8049294021707
0,0,425.24111994200143
0,0,454.2353432992169
0,0,458.67931289162476
0,0,478.0871322263829
0,0,522.173276789656
1,0,663.0521011227454
1,0,592.534946679521
1,0,545.73141722888
1,0,659.0022022243797
1,0,537.6460755933557
1,0,608.577409263637
1,0,683.1372244277763
0,0,516.5131694249845
0,0,583.2738510943411
2,0,544.4478771665167
1,0,584.7712298380925
0,0,477.9098628301601
0,0,561.0387218276221
1,0,524.6939617024932
1,0,624.6094171186026
0,0,527.0490292822583
0,0,614.4276224735398
0,0,540.8524642754052
1,0,553.3746481178705
2,0,727.0386197427092
0,0,646.8838233657784
0,0,502.46295156734334
0,0,630.0268626026566
0,0,591.3686933986319
1,0,569.1161124924175
1,0,617.3814993762354
0,0,524.9641686980966
3,0,722.6737387749297
0,0,509.9841072352706
6,0,757.4094409011495
0,0,474.0629343299179
2,0,567.3499954098709
2,0,607.6346212079793
3,0,659.8337140297612
0,0,615.8357837519947
3,0,540.3738468387924
0,0,595.9576696782547
4,0,640.2967657996646
0,0,457.00215189481844
0,0,554.1073117814055
0,0,453.81587296178714
0,0,501.3389141550722
0,0,493.1157939132301
0,0,775.2850852431623
2,0,530.4185989175044
1,0,504.259177998117
0,0,581.3274989128751
1,0,636.3648092275853
0,0,631.0318269491459
3,0,768.7998685726482
1,0,713.9866984225064
0,0,446.1970571174105
1,0,567.5512886304563
1,0,635.3497553930523
2,0,682.5341402321924
2,0,640.3788015759649
0,0,553.8339712316684
3,0,661.1546433907032
1,0,669.3941654989262
3,0,826.745923899697
1,0,638.8756794495512
0,0,537.4637582925654
2,0,640.0952319462649
0,0,616.7294181696751
1,0,472.41837390158565
1,0,594.9552243954216
2,0,613.930460866656
0,0,553.3742964685698
0,0,520.7752322558595
1,0,546.986296672219
1,0,691.25612176374
1,0,551.7581260005812
0,0,608.2551020326721
2,0,621.1111350384424
0,0,784.5648098987631
0,0,534.8640363901447
0,0,543.4055774888401
4,0,716.645259539306
0,0,566.4495047051972
0,0,477.20133834279346
2,0,622.9797670431963
0,0,612.6098542434682
3,0,713.7824421265666
1,0,550.9314786310129
1,0,543.3319090987447
1,0,623.4205836524596
8,0,743.3861995398231
0,0,530.9080821772775
1,0,510.92939551805733
0,0,609.9261856163491
0,0,782.0536792022361
0,0,430.50804952816634
3,0,688.4584863304958
0,0,538.3768469994016
4,0,721.0734948032203
1,0,510.74852199886215
4,0,702.9337960080029
1,0,651.1674792100342
0,0,523.499367234383
0,0,556.772988672962
0,0,649.1364027246216
1,0,593.2590597451549
1,0,748.8527370098975
0,0,542.2942496797784
0,0,539.8642472507502
1,0,516.129087772769
1,0,587.4308716976676
5,0,720.4481042632118
